name,apps,mins,goals,xg,Goals_vs_xG,shots,sot,conv_Rate,xG_per_Shot,goals_per_90,xg_per_90,shots_per_90,shot_accuracy,player_segment
Erling Haaland,32,2688,24,23.45,0.55,116,53,20.69,0.2,0.8035714285714285,0.78515625,3.883928571428571,0.45689655172413796,0
Igor Thiago,34,2924,21,19.1,1.9,76,39,27.63,0.25,0.646374829001368,0.5878932968536252,2.339261285909713,0.5131578947368421,0
Dominic Calvert-Lewin,31,2388,11,13.99,-2.99,67,30,16.42,0.21,0.41457286432160806,0.5272613065326633,2.5251256281407035,0.44776119402985076,0
João Pedro,32,2404,14,13.72,0.28,66,27,21.21,0.21,0.5241264559068219,0.5136439267886855,2.470881863560732,0.4090909090909091,0
Jean-Philippe Mateta,27,2070,10,13.46,-3.46,59,30,16.95,0.23,0.43478260869565216,0.5852173913043478,2.5652173913043477,0.5084745762711864,0
Ollie Watkins,33,2552,11,12.22,-1.22,70,30,15.71,0.17,0.3879310344827586,0.4309561128526646,2.468652037617555,0.42857142857142855,1
Danny Welbeck,33,1983,13,11.87,1.13,50,25,26.0,0.24,0.5900151285930408,0.5387291981845688,2.26928895612708,0.5,0
Raúl Jiménez,33,2085,9,11.25,-2.25,68,19,13.24,0.17,0.3884892086330935,0.48561151079136694,2.935251798561151,0.27941176470588236,1
Kevin Schade,31,2470,7,11.06,-4.06,51,22,13.73,0.22,0.2550607287449393,0.4029959514170041,1.8582995951417003,0.43137254901960786,1
Enzo Fernández,32,2761,8,10.79,-2.79,63,28,12.7,0.17,0.26077508149221296,0.3517203911626222,2.053603766751177,0.4444444444444444,1
Antoine Semenyo,32,2832,15,10.47,4.53,76,38,19.74,0.14,0.47669491525423724,0.33273305084745763,2.4152542372881354,0.5,1
Bruno Fernandes,31,2707,8,10.42,-2.42,75,21,10.67,0.14,0.2659770964166974,0.34643516808274843,2.493535278906539,0.28,2
Viktor Gyökeres,32,2052,12,10.42,1.58,48,18,25.0,0.22,0.5263157894736842,0.45701754385964916,2.1052631578947367,0.375,0
Hugo Ekitiké,28,1810,11,9.87,1.13,65,19,16.92,0.15,0.5469613259668509,0.49077348066298343,3.2320441988950277,0.2923076923076923,0
Evanilson,32,2474,6,9.51,-3.51,63,22,9.52,0.15,0.2182700080840744,0.34595796281325786,2.291835084882781,0.3492063492063492,2
Morgan Gibbs-White,34,2909,13,9.46,3.54,75,28,17.33,0.13,0.4022000687521485,0.29267789618425577,2.320385012031626,0.37333333333333335,1
Cole Palmer,22,1606,9,9.21,-0.21,53,20,16.98,0.17,0.5043586550435866,0.5161270236612703,2.9701120797011207,0.37735849056603776,0
Anthony Gordon,26,1814,6,8.83,-2.83,48,20,12.5,0.18,0.29768467475192945,0.4380926130099228,2.3814773980154356,0.4166666666666667,1
Ismaïla Sarr,23,1877,7,8.55,-1.55,37,16,18.92,0.23,0.33564198188598826,0.4099627064464571,1.7741076185402238,0.43243243243243246,1
Marcus Tavernier,30,2394,6,8.46,-2.46,63,20,9.52,0.13,0.22556390977443608,0.3180451127819549,2.3684210526315788,0.31746031746031744,2
Bryan Mbeumo,29,2377,9,8.26,0.74,61,30,14.75,0.14,0.34076567101388305,0.31274716028607485,2.30963399242743,0.4918032786885246,1
Beto,33,1352,8,8.21,-0.21,38,16,21.05,0.22,0.5325443786982248,0.5465236686390533,2.529585798816568,0.42105263157894735,0
